file_name,Número de 44 dígitos,chNFe,xMun,Texto após último ponto e vírgula,vProd
31231002334933000140550010000052681491101012-nfe,31230905194502000114550010003391971121337032,31231002334933000140550010000052681491101012,ANTONIO CARLOS,ALFALAGOS,1641.60
31231002334933000140550010000052691997107841-nfe,31230905194502000114550010003391811121336877,31231002334933000140550010000052691997107841,SANTANA DO GARAMBEU,ALFALAGOS,410.40
31231002334933000140550010000052701011001009-nfe,31230960665981000975550010007788581002510672,31231002334933000140550010000052701011001009,DESTERRO DE ENTRE RIOS,UNIAO QUIMICA ESTADO,1768.00
31231002334933000140550010000052711693953805-nfe,31230960665981000975550010007801161623212085,31231002334933000140550010000052711693953805,SAO BRAS DO SUACUI,UNIAO QUIMICA ESTADO,1060.80
31231002334933000140550010000052721725027118-nfe,31230960665981000975550010007801071178000677,31231002334933000140550010000052721725027118,SANTA BARBARA DO TUGURIO,UNIAO QUIMICA ESTADO,353.60
31231002334933000140550010000052731742134102-nfe,31230902814497000700550200011763281358950240,31231002334933000140550010000052731742134102,SAO BRAS DO SUACUI,CIMED ESTADO,1430.00
31231002334933000140550010000052741880953815-nfe,31230973856593001057550010007707351603275154,31231002334933000140550010000052741880953815,ANTONIO CARLOS,PRATI ESTADO,1385.40
31231002334933000140550010000052751303811619-nfe,31230973856593001057550010007707341242932549,31231002334933000140550010000052751303811619,ALFREDO VASCONCELOS,PRATI ESTADO,3510.60
31231002334933000140550010000052761121071048-nfe,31230973856593001057550010007707361020827212,31231002334933000140550010000052761121071048,SANTA RITA DO IBITIPOCA,PRATI ESTADO,793.40
31231002334933000140550010000052771469648216-nfe,31231003945035000191550010002634071009031581,31231002334933000140550010000052771469648216,PAIVA,ACACIA ESTADO,137.40
31231002334933000140550010000052781109150604-nfe,41230937630133000151550010000001811389630780,31231002334933000140550010000052781109150604,SANTA BARBARA DO TUGURIO,EXCLUSIVA MEDIC,70.00
31231002334933000140550010000052791514474913-nfe,43230922862531000126550010000239461067984170,31231002334933000140550010000052791514474913,SANTA BARBARA DO TUGURIO,TOP NORTE,4750.00
31231002334933000140550010000052801190100569-nfe,41230521484336000147550010000316281362015918,31231002334933000140550010000052801190100569,PAIVA,MMHMED,36.00
31231002334933000140550010000052811454502043-nfe,31230900874929000140550010005017431651488621,31231002334933000140550010000052811454502043,PAIVA,MEDCENTER,2376.00
31231002334933000140550010000052821023151052-nfe,31230900874929000140550010005017401103876616,31231002334933000140550010000052821023151052,SANTA BARBARA DO TUGURIO,MEDCENTER,132.00
31231002334933000140550010000052831234872105-nfe,41230973856593000166550030011576541031382836,31231002334933000140550010000052831234872105,PAIVA,PRATI ESTADO,214.50
31231002334933000140550010000052871385806844-nfe,31230900874929000140550010005017481939722182,31231002334933000140550010000052871385806844,CARANAIBA,MEDCENNTER 2644,398.67
31231002334933000140550010000052881027101517-nfe,31231025031668000127550010000506931573176244,31231002334933000140550010000052881027101517,IBERTIOGA,Simples Remessa sem retorno. Compras compartilhadas do CISALV. 31231025031668000127550010000506931573176244 SAMEH ESTADO,1806.80
31231002334933000140550010000052891109990070-nfe,31231025031668000127550010000506941423124173,31231002334933000140550010000052891109990070,SANTANA DO GARAMBEU,SAMEH ESTADO,361.36
31231002334933000140550010000052901297421296-nfe,31230900874929000140550010005017411050515972,31231002334933000140550010000052901297421296,IBERTIOGA,MEDCENTER ESTADO,64.68
31231002334933000140550010000052911892102972-nfe,31230900874929000140550010005017461903980209,31231002334933000140550010000052911892102972,IBERTIOGA,MEDCENTER ESTADO,405.60
31231002334933000140550010000052921110052610-nfe,41230937630133000151550010000001801985964742,31231002334933000140550010000052921110052610,SANTANA DO GARAMBEU,EXCLUSIVA MEDIC 2745,350.00
31231002334933000140550010000052931752023691-nfe,31230902814497000700550200011778441800609397,31231002334933000140550010000052931752023691,SANTA RITA DO IBITIPOCA,CIMED ESTADO,78.00
31231002334933000140550010000052941737859994-nfe,41230973856593000166550030011576411782964802,31231002334933000140550010000052941737859994,SANTA RITA DO IBITIPOCA,PRATI ESTADO,90.00
31231002334933000140550010000052951366128595-nfe,31231003945035000191550010002634081009031600,31231002334933000140550010000052951366128595,ANTONIO CARLOS,ACACIA ESTADO,141.06
31231002334933000140550010000052961339108101-nfe,31230900874929000140550010005017421729963791,31231002334933000140550010000052961339108101,ANTONIO CARLOS,MEDCENTER ESTADO,67.60
31231002334933000140550010000052971311022242-nfe,31230900874929000140550010005017451696059163,31231002334933000140550010000052971311022242,RESSAQUINHA,MEDCENTER ESTADO,396.00
31231002334933000140550010000052981109149102-nfe,31230900874929000140550010005017391466480722,31231002334933000140550010000052981109149102,ALFREDO VASCONCELOS,MEDCENTER ESTADO,924.00
31231002334933000140550010000053001141079912-nfe,31230900874929000140550010005017471679827578,31231002334933000140550010000053001141079912,ANTONIO CARLOS,MEDCENTER 2734,265.78
31231002334933000140550010000053011610368684-nfe,41230937630133000151550010000001791281855473,31231002334933000140550010000053011610368684,DESTERRO DO MELO,EXCLUSIVA MEDIC 2663,175.00
31231002334933000140550010000053021105518329-nfe,31231025031668000127550010000506901522117435,31231002334933000140550010000053021105518329,CAPELA NOVA,SAMEH ESTADO,144.54
31231002334933000140550010000053031807780772-nfe,41230973856593000166550030011576531943507999,31231002334933000140550010000053031807780772,RESSAQUINHA,PRATI ESTADO,214.50
31231002334933000140550010000053051410885676-nfe,31231042799163000126550010001388811112619520,31231002334933000140550010000053051410885676,DESTERRO DO MELO,BH FARMA ESTADO,4431.00
31231002334933000140550010000053061272382078-nfe,31231025031668000127550010000506921091010674,31231002334933000140550010000053061272382078,DESTERRO DO MELO,SAMEH ESTADO,1806.80
31231002334933000140550010000053071240991050-nfe,31231025031668000127550010000506911248757727,31231002334933000140550010000053071240991050,RESSAQUINHA,SAMEH ESTADO,903.40
31231002334933000140550010000053111004210247-nfe,35230924827291000154550010000055071200488005,31231002334933000140550010000053111004210247,ANTONIO CARLOS,AMAR TRANSP. 2637,172.80
31231002334933000140550010000053121109121098-nfe,35230924827291000154550010000055081502500420,31231002334933000140550010000053121109121098,ANTONIO CARLOS,AMAR TRANSP. 2622,129.60
31231002334933000140550010000053131105941071-nfe,35230924827291000154550010000055061007000007,31231002334933000140550010000053131105941071,SANTANA DO GARAMBEU,AMAR TRANSP. 2661,432.00
31231002334933000140550010000053141426510480-nfe,35230924827291000154550010000055101500803076,31231002334933000140550010000053141426510480,PAIVA,AMAR TRANSP. 2799,432.00
31231002334933000140550010000053151910361010-nfe,35231031498120000194550010000143411491324039,31231002334933000140550010000053151910361010,SANTANA DO GARAMBEU,BELLAMED 2749,337.50
31231002334933000140550010000053161370710971-nfe,31231025112130000147550010000073281230125854,31231002334933000140550010000053161370710971,ALFREDO VASCONCELOS,E. NATALINO 2599,9828.00
31231002334933000140550010000053171930990548-nfe,35230924827291000154550010000055071200488005,31231002334933000140550010000053171930990548,ANTONIO CARLOS,AMAR TRANSP. 2637,172.80
31231002334933000140550010000053181215910363-nfe,35230924827291000154550010000055081502500420,31231002334933000140550010000053181215910363,ANTONIO CARLOS,AMAR TRANSP. 2622,129.60
31231002334933000140550010000053191401010102-nfe,41230973856593000166550030011576461703951962,31231002334933000140550010000053191401010102,ANTONIO CARLOS,PRATI ESTADO,90.00
31231002334933000140550010000053201917101161-nfe,33231024262316000110550010000019131274202312,31231002334933000140550010000053201917101161,ALFREDO VASCONCELOS,STAFF 2720,88.00
31231002334933000140550010000053211482519068-nfe,31230923615514000157550010000121021038743778,31231002334933000140550010000053211482519068,SANTANA DO GARAMBEU,HEALTH CLEAN 2740,38.00
31231002334933000140550010000053221234016560-nfe,31230923615514000157550010000121011321658266,31231002334933000140550010000053221234016560,ANTONIO CARLOS,HEALTH CLEAN 2707,70.92
31231002334933000140550010000053231402393032-nfe,31230923615514000157550010000121001474134436,31231002334933000140550010000053231402393032,PAIVA,HEALTH CLEAN 2675,135.00
31231002334933000140550010000053241948110463-nfe,31230923615514000157550010000120991474671005,31231002334933000140550010000053241948110463,PAIVA,HEALTH CLEAN 2674,212.76
31231002334933000140550010000053251731071897-nfe,31230923615514000157550010000120981235984471,31231002334933000140550010000053251731071897,SAO BRAS DO SUACUI,HEALTH CLEAN 2788,284.90
31231002334933000140550010000053261551215367-nfe,31230923615514000157550010000120971990232740,31231002334933000140550010000053261551215367,SAO BRAS DO SUACUI,HEALTH CLEAN 2787,408.12
31231002334933000140550010000053271303812869-nfe,31230923615514000157550010000120941821737592,31231002334933000140550010000053271303812869,SANTA BARBARA DO TUGURIO,HEALTH CLEAN 2690,3798.00
31231002334933000140550010000053281077461026-nfe,31230923615514000157550010000120961370195906,31231002334933000140550010000053281077461026,SANTA RITA DO IBITIPOCA,HEALTH CLEAN 2769,778.60
31231002334933000140550010000053291101791776-nfe,31230923615514000157550010000120951530547611,31231002334933000140550010000053291101791776,DESTERRO DO MELO,HEALTH CLEAN 2662,123.00
31231002334933000140550010000053301215438200-nfe,31230907876749000146550010000400241682531383,31231002334933000140550010000053301215438200,ALFREDO VASCONCELOS,GIROFARMA 2602,77.76
31231002334933000140550010000053311519103575-nfe,31230907876749000146550010000400251341912309,31231002334933000140550010000053311519103575,ANTONIO CARLOS,GIROFARMA 2730,77.76
31231002334933000140550010000053321929532104-nfe,31230904158618000135550010000148871002236000,31231002334933000140550010000053321929532104,SANTA BARBARA DO TUGURIO,LIMPEZA E BRILHO 2786,150.00
31231002334933000140550010000053331610471012-nfe,31230904158618000135550010000148891002099333,31231002334933000140550010000053331610471012,PAIVA,LIMPEZA E BRILHO 2818,150.00
31231002334933000140550010000053341532637008-nfe,31230904158618000135550010000148881008811399,31231002334933000140550010000053341532637008,SANTA RITA DO IBITIPOCA,LIMPEZA E BRILHO 2683,150.00
31231002334933000140550010000053351394134500-nfe,33231024262316000110550010000019121274202315,31231002334933000140550010000053351394134500,SANTANA DO GARAMBEU,STAFF MEDICAL 2742,264.00
31231002334933000140550010000053361461076615-nfe,33231024262316000110550010000019151274202317,31231002334933000140550010000053361461076615,SAO BRAS DO SUACUI,STAFF MEDICAL 2789,100.00
31231002334933000140550010000053371210823948-nfe,33231024262316000110550010000019141274202310,31231002334933000140550010000053371210823948,PAIVA,STAFF MEDICAL 2676,88.00
31231002334933000140550010000053381131083698-nfe,35231031498120000194550010000143371564127278,31231002334933000140550010000053381131083698,CARANDAI,BELLAMED 2761,58.00
31231002334933000140550010000053391601333307-nfe,35231031498120000194550010000143391266236650,31231002334933000140550010000053391601333307,ANTONIO CARLOS,BELLAMED 2739,66.00
31231002334933000140550010000053401631095499-nfe,35231031498120000194550010000143351298592526,31231002334933000140550010000053401631095499,PAIVA,BELLAMED 2806,550.00
31231002334933000140550010000053411761451357-nfe,35231031498120000194550010000143361083769100,31231002334933000140550010000053411761451357,CARANAIBA,BELLAMED 2632,111.00
31231002334933000140550010000053421110105989-nfe,35231031498120000194550010000143401560453117,31231002334933000140550010000053421110105989,SAO BRAS DO SUACUI,BELLAMED 2794,111.00
31231002334933000140550010000053431375556250-nfe,31231003945035000191550010002637281009062947,31231002334933000140550010000053431375556250,SAO BRAS DO SUACUI,ACACIA ESTADO,171.75
31231002334933000140550010000053441127053752-nfe,31231012927876000167550010002849571005023450,31231002334933000140550010000053441127053752,SANTA BARBARA DO TUGURIO,SOMA MG ESTADO,372.59
31231002334933000140550010000053451108965013-nfe,31231012927876000167550010002849581005023465,31231002334933000140550010000053451108965013,RESSAQUINHA,SOMA MG ESTADO,926.18
31231002334933000140550010000053461556299111-nfe,31231012927876000167550010002849561005023444,31231002334933000140550010000053461556299111,IBERTIOGA,SOMA MG ESTADO,487.18
31231002334933000140550010000053471692755058-nfe,31231012927876000167550010002849551005023439,31231002334933000140550010000053471692755058,CAPELA NOVA,SOMA MG ESTADO,1254.59
31231002334933000140550010000053481444252550-nfe,41230925279552000101550010000174011628738553,31231002334933000140550010000053481444252550,ALFREDO VASCONCELOS,DELLY,20.00
31231002334933000140550010000053491977910110-nfe,41230938140640000170550010000017721840260789,31231002334933000140550010000053491977910110,RESSAQUINHA,A2 DISTRIBUIDORA,547.80
31231002334933000140550010000053501581170618-nfe,31230944303986000144550010000012571702079231,31231002334933000140550010000053501581170618,CARANDAI,CIRURGICA CLARA,1564.80
31231002334933000140550010000053511004039411-nfe,35230927656480000108550010000145501934788854,31231002334933000140550010000053511004039411,DESTERRO DO MELO,Simples Remessa sem retorno. Compras compartilhadas do CISALV. 35230927656480000108550010000145501934788854 PROATIVA 1561,760.00
31231002334933000140550010000053521028791706-nfe,31231025031668000127550010000509491192292174,,PAIVA,SAMEH ESTADO,1666.80
31231002334933000140550010000053611104039460-nfe,31230931495759000116550010000057701695955429,31231002334933000140550010000053611104039460,CIPOTANEA,SIRIO ESTADO,2604.66
31231002334933000140550010000053681723195849-nfe,31231003945035000191550010002641401009071195,31231002334933000140550010000053681723195849,CIPOTANEA,ACACIA ESTADO,219.90
31231002334933000140550010000053731249905194-nfe,31231023615514000157550010000121561657514128,31231002334933000140550010000053731249905194,CIPOTANEA,HEALTH CLEAN 801,149.00
31231002334933000140550010000053751171697895-nfe,33231011372104000143550010000052571009894248,31231002334933000140550010000053751171697895,CIPOTANEA,Simples Remessa sem retorno. Compras compartilhadas do CISALV. 33231011372104000143550010000052571009894248 D&D PRODUTOS,633.00
31231002334933000140550010000053761704507590-nfe,41230938140640000170550010000017951245321992,31231002334933000140550010000053761704507590,PAIVA,A2 DISTRIBUIDORA 2820,1199.88
31231002334933000140550010000053771718108100-nfe,41230938140640000170550010000017961800086402,31231002334933000140550010000053771718108100,PAIVA,AS DISTRIBUIDORA 2613,120.12
31231002334933000140550010000053781318601493-nfe,43230931097402000180550010000036461995383254,31231002334933000140550010000053781318601493,RESSAQUINHA,ADL MED COMERCIO,72.00
31231002334933000140550010000053791103101094-nfe,43230931097402000180550010000036471012158712,31231002334933000140550010000053791103101094,ALFREDO VASCONCELOS,ADL MEDICAMENTOS,36.00
31231002334933000140550010000053801556081045-nfe,31231031495759000116550010000063241041424041,31231002334933000140550010000053801556081045,IBERTIOGA,SIRIO PHARMA ESTADO,842.41
31231002334933000140550010000053811860191030-nfe,35230911011753000119550010000073741505855847,31231002334933000140550010000053811860191030,SANTA RITA DO IBITIPOCA,VENTCARE,226.40
31231002334933000140550010000053821081824337-nfe,33231011372104000143550010000052551025669984,31231002334933000140550010000053821081824337,SANTA BARBARA DO TUGURIO,Simples Remessa sem retorno. Compras compartilhadas do CISALV. 33231011372104000143550010000052551025669984 D&D PRODUTOS DE HIGIENE E LIMPEZA 2782,1125.00
31231002334933000140550010000053831933321839-nfe,31231012927876000167550010002851731005034510,31231002334933000140550010000053831933321839,IBERTIOGA,SOMA MG ESTADO,153.30
31231002334933000140550010000053841795929230-nfe,31231012927876000167550010002851591005034376,31231002334933000140550010000053841795929230,SANTA RITA DO IBITIPOCA,SOMA MG ESTADO,11.50
31231002334933000140550010000053851547426732-nfe,31231012927876000167550010002851661005034443,31231002334933000140550010000053851547426732,IBERTIOGA,SOMA MG ESTADO,34.50
31231002334933000140550010000053861718102313-nfe,31231012927876000167550010002851601005034385,31231002334933000140550010000053861718102313,IBERTIOGA,SOMA MG ESTADO,46.00
31231002334933000140550010000053871150520636-nfe,31231012927876000167550010002851741005034526,31231002334933000140550010000053871150520636,SANTA RITA DO IBITIPOCA,SOMA MG ESTADO,511.00
31231002334933000140550010000053881100202808-nfe,33231011372104000143550010000052561816660084,31231002334933000140550010000053881100202808,CARANAIBA,Simples Remessa sem retorno. Compras compartilhadas do CISALV. 33231011372104000143550010000052561816660084 D&D PRODUTOS DE HIGIENE E LIMPEZA 2635,844.00
31231002334933000140550010000053891864625530-nfe,35230911011753000119550010000073751507021290,31231002334933000140550010000053891864625530,PAIVA,VENTCARE,113.20
31231002334933000140550010000053901062146088-nfe,31231006867357000158550000000192601691668295,31231002334933000140550010000053901062146088,ANTONIO CARLOS,DISTRIBUIDORA PARANHOS 2611,417.00
31231002334933000140550010000053911914743580-nfe,31231006867357000158550000000192611800093511,31231002334933000140550010000053911914743580,SAO BRAS DO SUACUI,DISTRIBUIDORA PARANHOS 2685,160.00
31231002334933000140550010000053921917989102-nfe,31231023615514000157550010000121571171231098,31231002334933000140550010000053921917989102,PAIVA,HEALTH CLEAN 1535,74.50
31231002334933000140550010000053931528848483-nfe,31230948921961000165550010000001091195310480,31231002334933000140550010000053931528848483,PAIVA,Simples Remessa sem retorno. Compras compartilhadas do CISALV. 31230948921961000165550010000001091195310480 ESF 2813,560.00
31231002334933000140550010000053941931034593-nfe,35230904956527000145550010000030631135183190,31231002334933000140550010000053941931034593,ALFREDO VASCONCELOS,ORION COMERCIO,529.90
31231002334933000140550010000053951131942387-nfe,41231081706251000198550010003088711003981393,31231002334933000140550010000053951131942387,CARANDAI,PROMEFARMA ESTADO,3390.00
